id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
104751,105090.0,202560.0,,Gl 825,,Lacaille 8760,21.287725,-38.867362,3.9462,-3259.0,-1146.99,28.2,6.69,8.709,M1/M2V,1.397,2.330004,-2.003156,-2.476477,-3.405e-05,-5.295e-05,-3.518e-05,5.573113374318819,-0.6783634426887974,-1.58000778493e-05,-5.560764434e-06,,,Mic,1,104751,,0.0286022369395428,AX,6.707,6.667
104861,105199.0,203280.0,8162.0,Gl 826,5Alp Cep,Alderamin,21.30963,62.585573,15.0376,149.91,48.27,-11.5,2.45,1.564,A7IV-V,0.257,5.276111,-4.483201,13.348778,5.7e-07,1.386e-05,-8.82e-06,5.578848152361649,1.092324304671176,7.267841885e-07,2.34019563e-07,Alp,5.0,Cep,1,104861,,20.62528697846573,,,
105691,106032.0,205021.0,8238.0,,8Bet Cep,Alfirk,21.477662,70.560716,210.084,12.6,8.73,-8.0,3.23,-3.382,B2IIIv SB,-0.201,55.219515,-42.886719,198.108029,-9e-07,1.695e-05,-4.76e-06,5.622838696507083,1.2315168153370477,6.10865238e-08,4.2324234e-08,Bet,8.0,Cep,1,105691,,1962.4563241736896,Bet,3.257,3.207
105936,106278.0,204867.0,8232.0,,22Bet Aqr,Sadalsuud,21.525982,-5.571172,164.7446,22.79,-6.7,7.0,2.9,-3.184,G0Ib,0.828,130.759282,-98.929336,-15.993766,1.625e-05,1.053e-05,-6.02e-06,5.635488811779081,-0.097235298222015,1.104890378e-07,-3.2482516e-08,Bet,22.0,Aqr,1,105936,,1635.3096517445822,,,
106444,106786.0,205767.0,8264.0,,23Xi  Aqr,Bunda,21.629197,-7.854201,54.7645,114.29,-24.44,-21.0,4.68,0.988,A7V,0.175,44.13209,-31.551274,-7.483694,-3.8e-07,3.757e-05,-3.49e-06,5.662510489318611,-0.1370816757740512,5.540935555e-07,-1.18488463e-07,Xi,23.0,Aqr,1,106444,,35.05903839326127,,,
106642,106985.0,206088.0,8278.0,GJ 4209,40Gam Cap,Nashira,21.668181,-16.662308,48.1464,187.39,-22.33,-31.2,3.69,0.277,A7III:mp...,0.32,37.793496,-26.44095,-13.804954,-1.2e-06,5.422e-05,4.16e-06,5.672716509308115,-0.2908121292653225,9.08492356e-07,-1.08258894e-07,Gam,40.0,Cap,1,106642,,67.4838730870757,Gam,3.694,3.684
106795,107136.0,206672.0,8301.0,,80Pi 1Cyg,Azelfafage,21.701573,51.189622,529.1005,5.25,-2.11,-8.0,4.69,-3.928,B3IV,-0.119,273.366682,-187.713963,412.287993,6.87e-06,1.162e-05,-9.77e-06,5.681458513711284,0.89342744449128,2.54527182e-08,-1.0229568e-08,Pi-1,80.0,Cyg,1,106795,,3244.890156605363,,,
106972,107315.0,206778.0,8308.0,,8Eps Peg,Enif,21.736433,9.875011,211.4165,30.02,1.38,5.0,2.38,-4.246,K2Ibvar,1.52,172.769915,-116.330918,36.25782,2.116e-05,2.284e-05,2.27e-06,5.690584775484336,0.1723514595412449,1.455410669e-07,6.690428e-09,Eps,8.0,Peg,1,106972,,4349.106072324538,Eps,2.404,2.364
107213,107556.0,207098.0,8322.0,Gl 837,49Del Cap,Deneb Algedi,21.784011,-16.127286,11.8666,263.26,-296.23,-6.3,2.85,2.478,A5mF2 (IV),0.18,9.534405,-6.248606,-3.296196,-8.3e-07,1.865e-05,-1.458e-05,5.703040680804334,-0.2814742384311937,1.2763204954e-06,-1.436163565e-06,Del,49.0,Cap,1,107213,,8.8879171988482,Del,2.93,2.82
107742,108085.0,207971.0,8353.0,,Gam Gru,Aldhanab,21.898808,-37.364852,64.7249,95.88,-12.1,-2.0,3.0,-1.055,B8III,-0.084,43.853581,-26.892269,-39.28078,1.238e-05,2.77e-05,-1.78e-06,5.7330946093443735,-0.6521396962964812,4.648393569e-07,-5.8662455e-08,Gam,,Gru,1,107742,,230.14418174085063,,,
108573,108917.0,209790.0,8417.0,,17Xi  Cep,Kurhah,22.063135,64.627971,29.5946,214.46,89.29,-6.0,4.26,1.904,Am,0.379,11.085515,-6.15803,26.739992,2.53e-06,3.379e-05,-6e-08,5.776115299649919,1.1279708857886812,1.0397314193e-06,4.32890135e-07,Xi,17.0,Cep,1,108573,,15.079953418017894,,,
108728,109074.0,209750.0,8414.0,,34Alp Aqr,Sadalmelik,22.096399,-0.319851,160.5136,17.9,-9.93,8.0,2.95,-3.078,G2Ib,0.969,140.987693,-76.722268,-0.896054,1.381e-05,8.34e-06,-7.77e-06,5.784823674339427,-0.0055824472424825,8.67816488e-08,-4.8141998e-08,Alp,34.0,Aqr,1,108728,,1483.200967181874,,,
108922,109268.0,209952.0,8425.0,Gl 848.2,Alp Gru,Alnair,22.137209,-46.960975,30.9693,127.6,-147.91,10.9,1.73,-0.725,B7IV,-0.07,18.672505,-9.904001,-22.635193,1.36e-06,2.096e-05,-2.33e-05,5.795507642944743,-0.8196236395192475,6.186222564e-07,-7.17087914e-07,Alp,,Gru,1,108922,,169.82436524617444,,,
109081,109427.0,210418.0,8450.0,GJ 9771,26The Peg,Biham,22.169996,6.197865,28.2965,281.96,31.23,-7.9,3.52,1.261,A2V,0.086,24.963846,-12.967714,3.054948,1.029e-05,3.824e-05,3.39e-06,5.80409127308072,0.10817314881398,1.3669806537e-06,1.51407312e-07,The,26.0,Peg,1,109081,,27.264654585290064,,,
109657,110003.0,211391.0,8499.0,,43The Aqr,Ancha,22.280565,-7.78329,57.4713,118.95,-21.91,-15.0,4.17,0.373,G8III-IV,0.979,51.269356,-24.775209,-7.783126,-1e-08,3.681e-05,-3.97e-06,5.833038396001389,-0.1358440424484237,5.76685873e-07,-1.06222677e-07,The,43.0,Aqr,1,109657,,61.773185859152,,,
110049,110395.0,212061.0,8518.0,GJ 9779,48Gam Aqr,Sadachbia,22.360938,-1.387331,50.2008,129.24,8.9,-25.6,3.86,0.356,A0V,-0.057,45.635919,-20.880207,-1.215412,-1.067e-05,3.947e-05,2.8e-06,5.8540797645155065,-0.0242135024513512,6.265732008e-07,4.3148417e-08,Gam,48.0,Aqr,1,110049,,62.7480161997852,,,
110547,110893.0,239960.0,,Gl 860A,,Kruger 60,22.466642,57.695875,4.001,-870.23,-471.1,-33.3,9.59,11.579,M2V,1.613,1.968033,-0.83547,3.381486,-1.624e-05,-1.144e-05,-3.367e-05,5.881753022801692,1.0069829823740712,-4.2189940923e-06,-2.283957249e-06,,,Cep,1,110547,Gl 860,0.0020342297432117,DO,9.628,9.548
111359,111710.0,214376.0,8610.0,,63Kap Aqr,Situla,22.629273,-4.228056,65.5738,-68.36,-120.47,8.0,5.04,0.956,K2III,1.14,61.229681,-22.967064,-4.834534,-2.64e-06,-2.222e-05,-3.879e-05,5.92432968808697,-0.0737934924816,-3.31418632e-07,-5.8405504e-07,Kap,63.0,Aqr,1,111359,,36.10771451003529,,,
111676,112029.0,214923.0,8634.0,,42Zet Peg,Homam,22.691033,10.831364,62.6566,77.38,-10.98,7.0,3.41,-0.575,B8.5V,-0.086,57.962157,-20.678728,11.774377,1.511e-05,1.956e-05,-1.93e-06,5.940498623552228,0.1890429712152575,3.75148826e-07,-5.3232542e-08,Zet,42.0,Peg,1,111676,,147.91083881682073,,,
111768,112122.0,214952.0,8636.0,,Bet Gru,Tiaki,22.711115,-46.884577,54.2594,135.68,-4.51,2.0,2.07,-1.602,M5III,1.61,34.993484,-12.277259,-39.608199,1.232e-05,3.35e-05,-2.3e-06,5.945755997708016,-0.8182902343195899,6.577952018e-07,-2.1865096e-08,Bet,,Gru,1,111768,,380.8903764981352,,2.191,1.971
111804,112158.0,215182.0,8650.0,,44Eta Peg,Matar,22.716704,30.221245,65.703,13.11,-26.11,4.0,2.93,-1.158,G2II-III..,0.852,53.59916,-18.717064,33.070991,8.67e-06,1.4e-06,-5.13e-06,5.947219325141893,0.5274602313825538,6.35590735e-08,-1.26584851e-07,Eta,44.0,Peg,1,111804,,253.04630494613968,,,
111893,112247.0,215441.0,,,,Babcock's star,22.735418,55.589226,100000.0,4.96,-0.98,0.0,8.83,-11.17,A0p,0.031,53443.383418,-18369.410721,82500.724352,0.00115224,0.00214649,-0.00026848,5.952118392409138,0.9702150174272276,2.40467586e-08,-4.751174e-09,,,Lac,1,111893,,2558585.886905648,GL,8.907,8.757
112389,112748.0,216131.0,8684.0,GJ 4298,48Mu  Peg,Sadalbari,22.833385,24.601579,32.5309,144.11,-43.44,15.3,3.51,0.949,M2III,0.933,28.209183,-8.893887,13.542862,2.312e-05,1.654e-05,2.9e-07,5.977766089318706,0.4293785582232075,6.98664995e-07,-2.10603062e-07,Mu,48.0,Peg,1,112389,,36.3412616064223,,,
112776,113136.0,216627.0,8709.0,,76Del Aqr,Skat,22.910837,-15.82082,49.2368,-44.08,-24.81,18.0,3.27,-0.191,A3V,0.066,45.459019,-13.325406,-13.423467,1.249e-05,-1.462e-05,-1.072e-05,5.998043116073634,-0.2761254024698975,-2.137058704e-07,-1.20282274e-07,Del,76.0,Aqr,1,112776,,103.8484455008274,,,
112997,113357.0,217014.0,8729.0,Gl 882,51    Peg,Helvetios,22.95777,20.768832,15.6079,208.06,60.96,-33.7,5.45,4.483,G5V,0.666,14.053522,-3.93265,5.534429,-2.837e-05,2.429e-05,-7.91e-06,6.010330125154258,0.3624845039961663,1.0087033438e-06,2.95542419e-07,,51.0,Peg,1,112997,,1.4021678337057588,,,
113008,113368.0,216956.0,8728.0,Gl 881,24Alp PsA,Fomalhaut,22.960838,-29.622236,7.7036,329.22,-164.22,6.1,1.17,1.737,A3V,0.145,6.450517,-1.799476,-3.807757,5.61e-06,1.12e-05,-8.41e-06,6.011133383906492,-0.5170055514089774,1.5961035991e-06,-7.96161026e-07,Alp,24.0,PsA,1,113008,,17.587333541355722,,,
113521,113881.0,217906.0,8775.0,,53Bet Peg,Scheat,23.062901,28.082789,60.0962,187.76,137.61,9.0,2.44,-1.454,M2II-IIIvar,1.655,51.433435,-12.877612,28.290136,2.86e-06,5.567e-05,3.97e-05,6.037853304003958,0.4901371315809187,9.102861666e-07,6.67152105e-07,Bet,53.0,Peg,1,113521,,332.35330357747745,Bet,2.584,2.384
113529,113889.0,217891.0,8773.0,,4Bet Psc,Fumalsamakah,23.064615,3.820045,125.1564,12.86,-10.13,0.3,4.48,-1.007,B6Ve,-0.115,121.152668,-30.275882,8.338293,2.59e-06,7.4e-06,-6.11e-06,6.038302080536594,0.0666723682732812,6.23470393e-08,-4.9111625e-08,Bet,4.0,Psc,1,113529,,220.19122114844777,,,
113603,113963.0,218045.0,8781.0,,54Alp Peg,Markab,23.079348,15.205264,40.8831,61.1,-42.56,-4.0,2.49,-0.568,B9.5III,-0.002,38.311434,-9.417123,10.722722,1.21e-06,1.217e-05,-9.21e-06,6.042159145935139,0.2653819265538575,2.962211588e-07,-2.06336702e-07,Alp,54.0,Peg,1,113603,,146.96028989796503,,,
113687,114046.0,217987.0,,Gl 887,,Lacaille 9352,23.097531,-35.853073,3.2759,6767.26,1326.66,9.5,7.35,9.773,M2/M3V,1.483,2.581532,-0.621353,-1.918773,4.484e-05,9.974e-05,1.138e-05,6.046919538269939,-0.6257541624947276,3.28086022788e-05,6.431829174e-06,,,PsA,1,113687,,0.0107349493580523,,,
114887,115250.0,220061.0,8880.0,,62Tau Peg,Salm,23.343956,23.740337,49.5786,30.48,-9.14,16.0,4.58,1.104,A5V,0.18,44.715629,-7.756411,19.960021,1.688e-05,4.51e-06,4.58e-06,6.111433334998086,0.4143470452702625,1.477712098e-07,-4.431197e-08,Tau,62.0,Peg,1,114887,,31.506488329723936,Tau,4.598,4.558
115258,115623.0,220657.0,8905.0,,68Ups Peg,Alkarab,23.422993,23.404101,52.2466,193.12,36.47,-11.0,4.42,0.83,F8IV,0.617,47.401961,-7.215479,20.75302,-6.47e-06,5.046e-05,4.01e-06,6.132125166381574,0.4084786211010537,9.362721799e-07,1.76811549e-07,Ups,68.0,Peg,1,115258,,40.55085354483837,,,
115711,116076.0,221345.0,8930.0,,14    And,Veritate,23.52149,39.236198,79.1766,287.3,-83.78,-59.0,5.22,0.727,K0III,1.029,60.844885,-7.662161,50.080351,-1.241e-05,0.00011271,-6.307e-05,6.157911756609912,0.6848008429521162,1.3928697042e-06,-4.06176901e-07,,14.0,And,1,115711,,44.58615279480704,,,
116361,116727.0,222404.0,8974.0,Gl 903,35Gam Cep,Errai,23.65582,77.632276,14.1024,-48.85,127.18,-43.1,3.21,2.464,K1IV,1.031,3.008186,-0.271815,13.774751,-1.816e-05,-1.71e-06,-4.119e-05,6.193079297724524,1.3549388191278324,-2.36831483e-07,6.16586038e-07,Gam,35.0,Cep,1,116361,,9.003264310597224,,,
118084,,10361.0,487.0,Gl 66A,,p Eridani,1.663003,-56.19462,8.1466,268.8,25.41,19.5,5.8,6.245,K2 V,0.86,4.110128,1.912046,-6.7701,6.34e-06,1.466e-05,-1.601e-05,0.4353730499586666,-0.9807811326846,1.3031791733e-06,1.23186308e-07,,,Eri,1,118084,Gl 66,0.276694164541151,,,
118589,,,,Gl 333.2A,,Ross 686,9.014005,5.242018,24.5278,-229.81,-192.84,-37.0,12.68,10.732,dM4,1.47,-17.333104,17.206472,2.240759,4.451e-05,-5.68e-06,-2.629e-05,2.359860969484036,0.09149048123455,-1.1141503193e-06,-9.34895309e-07,,,Hya,1,44135,Gl 333.2,0.0044381298030813,,,
118720,,,,Gl 406,,Wolf 359,10.941484,7.01532,2.3906,-3822.95,-2716.83,13.0,13.45,16.557,M6,2.0,-2.282811,0.649334,0.292057,-4.33e-06,4.728e-05,-2.961e-05,2.8644736867699603,0.12244043730895,-1.85341846008e-05,-1.3171553821e-05,,,Leo,1,118720,,2.0758692705e-05,,,
118742,,98231.0,4375.0,Gl 423A,53Xi  UMa,Alula Australis,11.303118,31.528783,10.4167,-425.24,-581.01,-15.9,4.33,4.241,G0 Ve,0.59,-8.73089,1.610966,5.446747,2.43e-06,2.139e-05,-3.351e-05,2.9591494159152405,0.55028106395935,-2.0616216952e-06,-2.816820813e-06,Xi,53.0,UMa,1,118742,Gl 423,1.7522658618857083,,,
119058,,144070.0,5978.0,GJ 9540A,Xi  Sco,Graffias,16.072774,-11.374611,24.3309,-61.63,-33.19,-32.2,4.84,2.909,F6 IV-V,0.45,-11.530023,-20.879358,-4.798287,9.62e-06,3.245e-05,2.66e-06,4.207842357466434,-0.1985244135134,-2.987906713e-07,-1.60890268e-07,Xi,,Sco,1,119058,GJ 9540,5.975854297155728,,,
119127,,154906.0,6370.0,GJ 9584A,21Mu  Dra,Alrakis,17.088714,54.469093,23.2558,-76.0,79.53,-14.3,5.63,3.797,F7 V,0.47,-3.193886,-13.13167,18.925026,-4.59e-06,1.737e-05,-6.69e-06,4.473814769080139,0.95066502064635,-3.684583972e-07,3.85552927e-07,Mu,21.0,Dra,1,119127,GJ 9584,2.637545740889343,,,
119518,,,,Gl 866A,,EZ Aqr,22.642562,-15.302542,3.3979,2361.37,2233.03,-60.0,12.66,15.004,M5  e,1.98,3.069893,-1.139264,-0.895949,-3.28e-05,5.369e-05,5.17e-05,5.927808781240427,-0.26707974928385,1.14482448085e-05,1.0826054323e-05,,,Aqr,1,119518,Gl 866,8.67760744991e-05,,,
119585,,,,Gl 905,,Ross 248,23.698379,44.174924,3.1686,84.26,-1607.79,-77.7,12.29,14.786,dM6  e,1.9,2.262649,-0.179022,2.205274,-3.953e-05,4.43e-06,-7.31e-05,6.204221151200362,0.77099787597905,4.085040072e-07,-7.794800419e-06,,,And,1,119585,,0.0001060718149635,,,
